filename,width,height,class,xmin,ymin,xmax,ymax
images--12-_jpg.rf.yuzAE1UWBNoSmevRZzAh.jpg,416,416,Pepsi,273,42,416,394
Cheap-soft-drinks-and-fast-delivery_png.rf.z7e3tWt5Abh0vTsKORkU.jpg,416,416,Pepsi,0,0,416,416
Screenshot-2025-09-11-163838_png.rf.yjprI7NsiXQfqLwUlI6V.jpg,640,640,Mirinda,173,3,615,640
Screenshot-2025-09-12-043101_png.rf.zUkJ9ywG0IBXVEohBpvZ.jpg,640,640,Mirinda,64,184,171,536
Screenshot-2025-09-12-043101_png.rf.zUkJ9ywG0IBXVEohBpvZ.jpg,640,640,Mirinda,168,179,275,536
Screenshot-2025-09-12-043101_png.rf.zUkJ9ywG0IBXVEohBpvZ.jpg,640,640,Mirinda,0,184,68,543
WhatsApp Video 2025-01-15 at 14_50_32_be762203_mp4-0017_jpg.rf.zYD6LSNyCuZuQDiwu0n8.jpg,480,848,7up,37,104,178,632
01_planodatavedio_mp4-0090_jpg.rf.zbFNV5wnIqTs0Cunyubo.jpg,640,640,sprite,452,299,581,493
01_planodatavedio_mp4-0090_jpg.rf.zbFNV5wnIqTs0Cunyubo.jpg,640,640,sprite,328,303,456,501
01_planodatavedio_mp4-0090_jpg.rf.zbFNV5wnIqTs0Cunyubo.jpg,640,640,sprite,1,323,108,505
01_planodatavedio_mp4-0090_jpg.rf.zbFNV5wnIqTs0Cunyubo.jpg,640,640,sprite,579,5,640,231
01_planodatavedio_mp4-0090_jpg.rf.zbFNV5wnIqTs0Cunyubo.jpg,640,640,sprite,439,573,548,639
01_planodatavedio_mp4-0090_jpg.rf.zbFNV5wnIqTs0Cunyubo.jpg,640,640,sprite,338,575,426,640
01_planodatavedio_mp4-0090_jpg.rf.zbFNV5wnIqTs0Cunyubo.jpg,640,640,sprite,227,579,321,640
01_planodatavedio_mp4-0090_jpg.rf.zbFNV5wnIqTs0Cunyubo.jpg,640,640,sprite,12,19,155,243
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,266,0,348,151
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,201,5,268,154
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,285,201,347,318
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,128,201,206,336
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,48,206,127,340
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,1,420,57,526
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,57,411,128,505
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,132,399,208,497
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,204,388,281,489
01_planodatavedio_mp4-0274_jpg.rf.ziyXJPxW4TLFRdItnoSq.jpg,640,640,sprite,274,376,348,487
zoom_out_-2024-07-10T124016-788_jpg.rf.zphp4STr37bO9OWhpMA1.jpg,640,640,Coca-Cola,233,89,461,550
Screenshot-2025-09-11-164035_png.rf.zhf6sCnBoxB9oL7IIcP0.jpg,640,640,Mirinda,29,321,640,640
Screenshot-2025-09-11-183053_png.rf.CnCO2xM0KuM7QzD3fw91.jpg,640,640,Mirinda,302,3,467,637
Screenshot-2025-09-11-183053_png.rf.CnCO2xM0KuM7QzD3fw91.jpg,640,640,Mirinda,177,7,307,636
Screenshot-2025-09-11-183053_png.rf.CnCO2xM0KuM7QzD3fw91.jpg,640,640,Mirinda,88,8,188,629
Screenshot-2025-09-11-183053_png.rf.CnCO2xM0KuM7QzD3fw91.jpg,640,640,Mirinda,522,37,640,630
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,509,86,582,212
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,190,68,289,204
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,407,81,490,209
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,126,403,205,525
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,198,405,272,526
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,269,404,347,525
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,60,408,120,525
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,536,89,578,209
02_panodata_mp4-0005_jpg.rf.CxzQ4JIsJ6jgN9mN2xln.jpg,640,640,sprite,458,248,515,303
01_planodatavedio_mp4-0216_jpg.rf.zstqVM2hj3hksRHMYa8E.jpg,640,640,sprite,188,194,351,461
01_planodatavedio_mp4-0216_jpg.rf.zstqVM2hj3hksRHMYa8E.jpg,640,640,sprite,41,197,211,457
