epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6593,1.30897,1.86946,1.38543,0.87841,0.30502,0.50187,0.30158,1.3157,2.47924,1.5677,0.000652482,0.000652482,0.000652482
2,165.532,1.21032,1.41983,1.30719,0.53081,0.47333,0.46646,0.26438,1.47435,1.99802,1.56002,0.00121032,0.00121032,0.00121032
3,252.504,1.28368,1.53962,1.41813,0.39345,0.25778,0.25506,0.12102,1.75398,2.38555,2.10343,0.00165816,0.00165816,0.00165816
4,339.291,1.28173,1.40601,1.38949,0.66225,0.45556,0.45995,0.27594,1.40548,1.58584,1.47002,0.001505,0.001505,0.001505
5,425.803,1.23856,1.29435,1.3676,0.73983,0.47778,0.50283,0.30472,1.36318,1.46931,1.43233,0.00134,0.00134,0.00134
6,511.555,1.18858,1.17543,1.32006,0.76307,0.51333,0.5391,0.36298,1.21212,1.14063,1.31889,0.001175,0.001175,0.001175
7,609.032,1.14735,1.09403,1.298,0.79873,0.53111,0.53887,0.37026,1.19352,1.08644,1.33513,0.00101,0.00101,0.00101
8,693.928,1.10228,1.00665,1.25323,0.82314,0.60667,0.67139,0.46968,1.13889,1.07987,1.25516,0.000845,0.000845,0.000845
9,780.495,1.06564,0.94731,1.22661,0.90455,0.72222,0.80306,0.57502,1.04667,0.88621,1.18464,0.00068,0.00068,0.00068
10,871.943,1.04612,0.87671,1.21626,0.86105,0.64889,0.68247,0.49299,1.06615,0.83603,1.19492,0.000515,0.000515,0.000515
11,964.832,0.99535,0.80984,1.16177,0.82472,0.66917,0.67569,0.48905,0.99057,0.7852,1.13728,0.00035,0.00035,0.00035
12,1065.61,0.95231,0.7741,1.13692,0.83369,0.42444,0.43636,0.31193,0.98789,0.81013,1.13479,0.000185,0.000185,0.000185
